,key,number,name,Event_1_Week,Event_1_Key,Event_1_fused,Event_2_Week,Event_2_Key,Event_2_fused,EPA,Win_Rate,EPA_Rank,EPA_Percentile
117,frc3602,3602,RoboMos,1.0,miesc,1miesc,3.0,milsu,3milsu,19.82,0.5761,164,0.6791
118,frc3603,3603,Cyber Coyotes,4.0,mibig,4mibig,0.0,milac,0milac,30.02,0.55,66,0.8708
119,frc3604,3604,Goon Squad,3.0,mibro,3mibro,0.0,mifer,0mifer,37.0,0.6507,21,0.9589
120,frc3618,3618,Petoskey Paladins,1.0,mimtp,1mimtp,2.0,mitvc,2mitvc,21.05,0.4783,148,0.7104
121,frc3619,3619,Blackhawks,4.0,midet,4midet,2.0,midtr,2midtr,4.85,0.3333,482,0.0568
122,frc3620,3620,Average Joes,3.0,mibro,3mibro,1.0,misjo,1misjo,31.59,0.5636,55,0.8924
123,frc3632,3632,D-Techs,4.0,midet,4midet,2.0,midtr,2midtr,11.99,0.4688,302,0.409
124,frc3641,3641,The Flying Toasters,2.0,mibel,2mibel,0.0,mimil,0mimil,30.06,0.5574,65,0.8728
125,frc3655,3655,Tractor Technicians,0.0,mibat,0mibat,3.0,mimas,3mimas,30.08,0.6864,64,0.8748
126,frc3656,3656,Dexter Dreadbots,2.0,mibkn,2mibkn,0.0,mimil,0mimil,33.25,0.6094,38,0.9256
127,frc3658,3658,Robo - Beavers,3.0,misal,3misal,1.0,misjo,1misjo,18.93,0.4306,177,0.6536
128,frc3667,3667,Mecanum Knights,3.0,mibro,3mibro,1.0,mike2,1mike2,18.72,0.5167,180,0.6477
129,frc3668,3668,TroBots,2.0,mibkn,2mibkn,0.0,mimil,0mimil,21.88,0.4828,138,0.7299
130,frc3688,3688,Norsemen,0.0,milac,0milac,2.0,mitvc,2mitvc,24.3,0.4634,109,0.7867
131,frc3707,3707,TechnoDogs,3.0,mimas,3mimas,1.0,mimtp,1mimtp,29.73,0.569,69,0.865
132,frc3767,3767,TC Titans,0.0,milac,0milac,2.0,mitvc,2mitvc,32.71,0.629,44,0.9139
133,frc3770,3770,BlitzCreek,4.0,mimid,4mimid,2.0,mitvc,2mitvc,19.97,0.4457,163,0.681
134,frc3773,3773,Arrowhead Robotics,2.0,mibel,2mibel,3.0,misal,3misal,8.94,0.2917,388,0.2407
135,frc3875,3875,Red Storm Robotics,0.0,mibat,0mibat,4.0,miken,4miken,22.33,0.4773,135,0.7358
136,frc4003,4003,TriSonics,1.0,mimtp,1mimtp,3.0,miwmi,3miwmi,18.39,0.4259,188,0.6321
137,frc4004,4004,M.A.R.S. Rovers,4.0,mibig,4mibig,2.0,mimus,2mimus,24.18,0.4651,113,0.7789
